지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2016-08-24,30
108,서울,2016-08-25,26
108,서울,2016-08-26,12
108,서울,2016-08-27,13
108,서울,2016-08-28,9
108,서울,2016-08-29,15
108,서울,2016-09-01,52
108,서울,2016-09-03,17
108,서울,2016-09-04,17
108,서울,2016-09-05,26
108,서울,2016-09-06,51
108,서울,2016-09-07,60
108,서울,2016-09-09,34
108,서울,2016-09-10,32
108,서울,2016-09-11,33
108,서울,2016-09-12,23
108,서울,2016-09-13,14
108,서울,2016-09-14,26
108,서울,2016-09-15,34
108,서울,2016-09-16,40
108,서울,2016-09-17,24
108,서울,2016-09-18,18
108,서울,2016-09-19,11
108,서울,2016-09-20,15
108,서울,2016-09-21,29
108,서울,2016-09-22,33
108,서울,2016-09-23,43
108,서울,2016-09-24,52
108,서울,2016-09-25,40
108,서울,2016-09-26,36
108,서울,2016-09-27,28
108,서울,2016-09-28,28
108,서울,2016-09-29,11
108,서울,2016-09-30,26
108,서울,2016-10-01,39
108,서울,2016-10-02,25
108,서울,2016-10-03,14
108,서울,2016-10-04,24
108,서울,2016-10-05,23
108,서울,2016-10-06,35
108,서울,2016-10-07,21
108,서울,2016-10-08,19
108,서울,2016-10-09,16
108,서울,2016-10-10,24
108,서울,2016-10-11,44
108,서울,2016-10-12,47
108,서울,2016-10-13,40
108,서울,2016-10-14,59
108,서울,2016-10-15,63
108,서울,2016-10-16,46
108,서울,2016-10-17,41
108,서울,2016-10-18,49
108,서울,2016-10-19,53
108,서울,2016-10-20,51
108,서울,2016-10-21,22
108,서울,2016-10-22,32
108,서울,2016-10-24,14
108,서울,2016-10-25,17
108,서울,2016-10-26,35
108,서울,2016-10-27,37
108,서울,2016-10-28,35
108,서울,2016-10-29,37
108,서울,2016-10-30,32
108,서울,2016-10-31,25
108,서울,2016-11-01,24
108,서울,2016-11-02,32
108,서울,2016-11-03,40
108,서울,2016-11-04,54
108,서울,2016-11-05,66
108,서울,2016-11-06,28
108,서울,2016-11-07,33
108,서울,2016-11-08,56
108,서울,2016-11-09,38
108,서울,2016-11-10,32
108,서울,2016-11-11,49
108,서울,2016-11-12,67
108,서울,2016-11-13,54
108,서울,2016-11-14,43
108,서울,2016-11-15,51
108,서울,2016-11-16,47
108,서울,2016-11-18,79
108,서울,2016-11-19,43
108,서울,2016-11-20,37
108,서울,2016-11-21,56
108,서울,2016-11-22,41
108,서울,2016-11-23,42
108,서울,2016-11-24,31
108,서울,2016-11-25,36
108,서울,2016-11-26,42
108,서울,2016-11-27,56
108,서울,2016-11-28,74
108,서울,2016-11-29,38
108,서울,2016-11-30,39
108,서울,2016-12-01,45
108,서울,2016-12-02,37
108,서울,2016-12-03,47
108,서울,2016-12-04,60
108,서울,2016-12-05,62
108,서울,2016-12-06,25
108,서울,2016-12-07,47
108,서울,2016-12-08,48
108,서울,2016-12-09,27
108,서울,2016-12-10,32
108,서울,2016-12-11,29
108,서울,2016-12-12,33
108,서울,2016-12-13,51
108,서울,2016-12-14,49
108,서울,2016-12-15,37
108,서울,2016-12-16,37
108,서울,2016-12-17,55
108,서울,2016-12-18,44
108,서울,2016-12-19,30
108,서울,2016-12-20,44
108,서울,2016-12-21,29
108,서울,2016-12-22,31
108,서울,2016-12-23,47
108,서울,2016-12-24,57
108,서울,2016-12-25,45
108,서울,2016-12-26,41
108,서울,2016-12-27,37
108,서울,2016-12-28,43
108,서울,2016-12-29,35
108,서울,2016-12-30,40
108,서울,2016-12-31,48
