지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2018-01-01,38
108,서울,2018-01-02,32
108,서울,2018-01-03,32
108,서울,2018-01-04,40
108,서울,2018-01-05,46
108,서울,2018-01-06,40
108,서울,2018-01-07,42
108,서울,2018-01-08,41
108,서울,2018-01-09,35
108,서울,2018-01-10,26
108,서울,2018-01-11,29
108,서울,2018-01-12,24
108,서울,2018-01-13,44
108,서울,2018-01-14,52
108,서울,2018-01-15,56
108,서울,2018-01-16,87
108,서울,2018-01-17,80
108,서울,2018-01-18,67
108,서울,2018-01-19,50
108,서울,2018-01-20,86
108,서울,2018-01-21,53
108,서울,2018-01-22,34
108,서울,2018-01-23,19
108,서울,2018-01-24,28
108,서울,2018-01-25,24
108,서울,2018-01-26,30
108,서울,2018-01-27,38
108,서울,2018-01-28,26
108,서울,2018-01-29,42
108,서울,2018-01-30,39
108,서울,2018-01-31,35
108,서울,2018-02-01,34
108,서울,2018-02-02,43
108,서울,2018-02-03,28
108,서울,2018-02-04,31
108,서울,2018-02-05,24
108,서울,2018-02-06,28
108,서울,2018-02-07,36
108,서울,2018-02-08,42
108,서울,2018-02-09,51
108,서울,2018-02-10,55
108,서울,2018-02-11,48
108,서울,2018-02-12,45
108,서울,2018-02-13,46
108,서울,2018-02-14,56
108,서울,2018-02-15,35
108,서울,2018-02-16,38
108,서울,2018-02-17,45
108,서울,2018-02-18,35
108,서울,2018-02-19,50
108,서울,2018-02-20,49
108,서울,2018-02-21,34
108,서울,2018-02-22,39
108,서울,2018-02-24,59
108,서울,2018-02-25,35
108,서울,2018-02-26,53
108,서울,2018-02-27,76
108,서울,2018-03-01,33
108,서울,2018-03-02,66
108,서울,2018-03-03,58
108,서울,2018-03-04,25
108,서울,2018-03-06,30
108,서울,2018-03-07,28
108,서울,2018-03-08,27
108,서울,2018-03-10,32
108,서울,2018-03-11,49
108,서울,2018-03-12,77
108,서울,2018-03-13,46
108,서울,2018-03-14,26
108,서울,2018-03-15,14
108,서울,2018-03-17,28
108,서울,2018-03-18,41
108,서울,2018-03-19,19
108,서울,2018-03-20,15
108,서울,2018-03-21,14
108,서울,2018-03-22,38
108,서울,2018-03-23,51
108,서울,2018-03-24,86
108,서울,2018-03-27,76
108,서울,2018-03-28,41
108,서울,2018-03-29,53
108,서울,2018-03-30,53
108,서울,2018-03-31,48
108,서울,2018-04-01,60
108,서울,2018-04-02,63
108,서울,2018-04-03,59
108,서울,2018-04-06,115
108,서울,2018-04-07,45
108,서울,2018-04-08,23
108,서울,2018-04-09,33
108,서울,2018-04-10,38
108,서울,2018-04-11,51
108,서울,2018-04-12,49
108,서울,2018-04-13,32
108,서울,2018-04-14,16
108,서울,2018-04-15,65
108,서울,2018-04-16,37
108,서울,2018-04-17,56
108,서울,2018-04-18,58
108,서울,2018-04-19,68
108,서울,2018-04-20,85
108,서울,2018-04-21,57
108,서울,2018-04-22,31
108,서울,2018-04-25,33
108,서울,2018-04-26,41
108,서울,2018-04-27,45
108,서울,2018-04-28,47
108,서울,2018-04-29,49
108,서울,2018-04-30,67
108,서울,2018-05-01,47
108,서울,2018-05-02,35
108,서울,2018-05-04,38
108,서울,2018-05-05,37
108,서울,2018-05-06,16
108,서울,2018-05-07,35
108,서울,2018-05-10,38
108,서울,2018-05-11,47
108,서울,2018-05-12,24
108,서울,2018-05-13,25
108,서울,2018-05-14,59
108,서울,2018-05-15,59
108,서울,2018-05-22,27
108,서울,2018-05-23,51
108,서울,2018-05-24,92
108,서울,2018-05-25,83
108,서울,2018-05-26,65
108,서울,2018-05-27,52
108,서울,2018-05-28,55
108,서울,2018-05-31,46
108,서울,2018-06-01,47
108,서울,2018-06-02,32
108,서울,2018-06-03,31
108,서울,2018-06-04,33
108,서울,2018-06-05,36
108,서울,2018-06-06,39
108,서울,2018-06-07,36
108,서울,2018-06-08,28
108,서울,2018-06-09,32
108,서울,2018-06-13,23
108,서울,2018-06-14,23
108,서울,2018-06-17,32
108,서울,2018-06-18,32
108,서울,2018-06-19,31
108,서울,2018-06-20,35
108,서울,2018-06-21,32
108,서울,2018-06-22,32
108,서울,2018-06-23,33
108,서울,2018-06-24,42
108,서울,2018-06-25,43
108,서울,2018-06-26,34
108,서울,2018-06-27,26
108,서울,2018-06-29,29
108,서울,2018-06-30,40
108,서울,2018-07-04,19
108,서울,2018-07-05,16
108,서울,2018-07-10,22
108,서울,2018-07-11,24
108,서울,2018-07-12,20
108,서울,2018-07-13,16
108,서울,2018-07-14,17
108,서울,2018-07-15,20
108,서울,2018-07-16,23
108,서울,2018-07-17,27
108,서울,2018-07-18,32
108,서울,2018-07-19,25
108,서울,2018-07-20,31
108,서울,2018-07-21,33
108,서울,2018-07-22,26
108,서울,2018-07-23,28
108,서울,2018-07-24,34
108,서울,2018-07-25,24
108,서울,2018-07-26,33
108,서울,2018-07-27,35
108,서울,2018-07-29,12
108,서울,2018-07-30,9
108,서울,2018-07-31,18
108,서울,2018-08-01,31
108,서울,2018-08-02,36
108,서울,2018-08-03,38
108,서울,2018-08-04,22
108,서울,2018-08-05,21
108,서울,2018-08-06,26
108,서울,2018-08-07,18
108,서울,2018-08-08,21
108,서울,2018-08-09,21
108,서울,2018-08-10,16
108,서울,2018-08-11,12
108,서울,2018-08-12,15
108,서울,2018-08-13,26
108,서울,2018-08-14,23
108,서울,2018-08-16,8
108,서울,2018-08-17,14
108,서울,2018-08-19,20
108,서울,2018-08-20,29
108,서울,2018-08-21,21
108,서울,2018-08-22,19
108,서울,2018-08-23,12
108,서울,2018-08-24,7
108,서울,2018-08-25,19
108,서울,2018-08-26,15
108,서울,2018-08-27,14
108,서울,2018-08-28,18
108,서울,2018-08-31,20
108,서울,2018-09-01,15
108,서울,2018-09-02,15
108,서울,2018-09-03,18
108,서울,2018-09-04,15
108,서울,2018-09-05,24
108,서울,2018-09-06,28
108,서울,2018-09-08,20
108,서울,2018-09-09,20
108,서울,2018-09-10,12
108,서울,2018-09-11,13
108,서울,2018-09-12,15
108,서울,2018-09-13,19
108,서울,2018-09-14,17
108,서울,2018-09-15,16
108,서울,2018-09-16,31
108,서울,2018-09-17,23
108,서울,2018-09-18,31
108,서울,2018-09-21,11
108,서울,2018-09-22,29
108,서울,2018-09-23,26
108,서울,2018-09-24,14
108,서울,2018-09-25,14
108,서울,2018-09-26,10
108,서울,2018-09-28,17
108,서울,2018-09-29,14
108,서울,2018-09-30,18
108,서울,2018-10-01,15
108,서울,2018-10-02,23
108,서울,2018-10-03,22
108,서울,2018-10-04,19
108,서울,2018-10-05,9
108,서울,2018-10-07,24
108,서울,2018-10-08,22
108,서울,2018-10-09,24
108,서울,2018-10-11,17
108,서울,2018-10-13,28
108,서울,2018-10-14,33
108,서울,2018-10-15,50
108,서울,2018-10-16,38
108,서울,2018-10-18,22
108,서울,2018-10-19,23
108,서울,2018-10-20,38
108,서울,2018-10-21,36
108,서울,2018-10-22,44
108,서울,2018-10-24,38
108,서울,2018-10-25,36
108,서울,2018-10-26,28
108,서울,2018-10-27,25
108,서울,2018-10-29,16
108,서울,2018-10-30,23
108,서울,2018-10-31,22
108,서울,2018-11-02,41
108,서울,2018-11-03,45
108,서울,2018-11-04,35
108,서울,2018-11-05,57
108,서울,2018-11-06,105
108,서울,2018-11-07,75
108,서울,2018-11-08,14
108,서울,2018-11-09,39
108,서울,2018-11-10,75
108,서울,2018-11-11,72
108,서울,2018-11-12,32
108,서울,2018-11-13,40
108,서울,2018-11-14,35
108,서울,2018-11-15,50
108,서울,2018-11-16,59
108,서울,2018-11-17,34
108,서울,2018-11-18,37
108,서울,2018-11-19,58
108,서울,2018-11-20,40
108,서울,2018-11-21,35
108,서울,2018-11-22,21
108,서울,2018-11-23,25
108,서울,2018-11-24,28
108,서울,2018-11-25,55
108,서울,2018-11-26,70
108,서울,2018-11-27,110
108,서울,2018-11-28,88
108,서울,2018-11-29,64
108,서울,2018-11-30,52
108,서울,2018-12-01,46
108,서울,2018-12-02,41
108,서울,2018-12-03,43
108,서울,2018-12-04,33
108,서울,2018-12-05,27
108,서울,2018-12-06,36
108,서울,2018-12-07,23
108,서울,2018-12-08,21
108,서울,2018-12-09,21
108,서울,2018-12-10,40
108,서울,2018-12-11,47
108,서울,2018-12-12,49
108,서울,2018-12-13,43
108,서울,2018-12-14,35
108,서울,2018-12-15,74
108,서울,2018-12-16,73
108,서울,2018-12-17,82
108,서울,2018-12-18,52
108,서울,2018-12-19,53
108,서울,2018-12-20,67
108,서울,2018-12-21,89
108,서울,2018-12-22,99
108,서울,2018-12-23,54
108,서울,2018-12-24,23
108,서울,2018-12-25,38
108,서울,2018-12-26,50
108,서울,2018-12-27,27
108,서울,2018-12-28,32
108,서울,2018-12-29,32
108,서울,2018-12-30,36
108,서울,2018-12-31,55
