지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2017-01-01,60
108,서울,2017-01-02,90
108,서울,2017-01-03,65
108,서울,2017-01-04,47
108,서울,2017-01-05,30
108,서울,2017-01-06,21
108,서울,2017-01-07,39
108,서울,2017-01-08,25
108,서울,2017-01-09,50
108,서울,2017-01-10,30
108,서울,2017-01-11,26
108,서울,2017-01-12,29
108,서울,2017-01-13,30
108,서울,2017-01-14,48
108,서울,2017-01-15,26
108,서울,2017-01-16,41
108,서울,2017-01-17,59
108,서울,2017-01-18,82
108,서울,2017-01-19,88
108,서울,2017-01-20,50
108,서울,2017-01-21,42
108,서울,2017-01-22,78
108,서울,2017-01-23,43
108,서울,2017-01-24,34
108,서울,2017-01-25,41
108,서울,2017-01-26,52
108,서울,2017-01-27,117
108,서울,2017-01-28,29
108,서울,2017-01-29,22
108,서울,2017-01-30,42
108,서울,2017-01-31,24
108,서울,2017-02-01,32
108,서울,2017-02-02,30
108,서울,2017-02-03,61
108,서울,2017-02-04,75
108,서울,2017-02-05,55
108,서울,2017-02-06,36
108,서울,2017-02-07,36
108,서울,2017-02-08,49
108,서울,2017-02-09,53
108,서울,2017-02-10,34
108,서울,2017-02-11,29
108,서울,2017-02-12,30
108,서울,2017-02-13,37
108,서울,2017-02-14,46
108,서울,2017-02-15,53
108,서울,2017-02-16,53
108,서울,2017-02-17,42
108,서울,2017-02-18,30
108,서울,2017-02-19,38
108,서울,2017-02-20,44
108,서울,2017-02-21,44
108,서울,2017-02-22,25
108,서울,2017-02-23,32
108,서울,2017-02-24,26
108,서울,2017-02-25,40
108,서울,2017-02-26,38
108,서울,2017-02-27,31
108,서울,2017-02-28,35
108,서울,2017-03-01,43
108,서울,2017-03-02,27
108,서울,2017-03-03,38
108,서울,2017-03-04,44
108,서울,2017-03-05,46
108,서울,2017-03-06,35
108,서울,2017-03-07,30
108,서울,2017-03-08,42
108,서울,2017-03-09,45
108,서울,2017-03-10,44
