지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2021-01-01,36
108,서울,2021-01-02,43
108,서울,2021-01-03,47
108,서울,2021-01-04,50
108,서울,2021-01-05,37
108,서울,2021-01-06,30
108,서울,2021-01-07,56
108,서울,2021-01-08,27
108,서울,2021-01-09,33
108,서울,2021-01-10,48
108,서울,2021-01-11,63
108,서울,2021-01-12,88
108,서울,2021-01-13,146
108,서울,2021-01-14,100
108,서울,2021-01-15,109
108,서울,2021-01-16,69
108,서울,2021-01-17,29
108,서울,2021-01-18,53
108,서울,2021-01-19,43
108,서울,2021-01-20,59
108,서울,2021-01-21,72
108,서울,2021-01-22,71
108,서울,2021-01-24,20
108,서울,2021-01-25,34
108,서울,2021-01-26,70
108,서울,2021-01-27,50
108,서울,2021-01-28,51
108,서울,2021-01-29,32
108,서울,2021-01-30,74
108,서울,2021-01-31,75
