지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2019-01-01,41
108,서울,2019-01-02,38
108,서울,2019-01-03,41
108,서울,2019-01-04,77
108,서울,2019-01-05,73
108,서울,2019-01-06,47
108,서울,2019-01-07,64
108,서울,2019-01-08,44
108,서울,2019-01-09,51
108,서울,2019-01-10,61
108,서울,2019-01-11,84
108,서울,2019-01-12,110
108,서울,2019-01-13,130
108,서울,2019-01-14,181
108,서울,2019-01-15,138
108,서울,2019-01-16,43
108,서울,2019-01-17,42
108,서울,2019-01-18,65
108,서울,2019-01-19,110
108,서울,2019-01-20,70
108,서울,2019-01-21,41
108,서울,2019-01-22,60
108,서울,2019-01-23,79
108,서울,2019-01-24,42
108,서울,2019-01-25,46
108,서울,2019-01-26,44
108,서울,2019-01-27,41
108,서울,2019-01-28,66
108,서울,2019-01-29,64
108,서울,2019-01-30,63
108,서울,2019-01-31,62
108,서울,2019-02-01,36
108,서울,2019-02-02,58
108,서울,2019-02-03,48
108,서울,2019-02-04,73
108,서울,2019-02-05,71
108,서울,2019-02-06,85
108,서울,2019-02-07,57
108,서울,2019-02-08,32
108,서울,2019-02-09,36
108,서울,2019-02-10,45
108,서울,2019-02-11,42
108,서울,2019-02-12,65
108,서울,2019-02-13,44
108,서울,2019-02-14,56
108,서울,2019-02-15,51
108,서울,2019-02-16,71
108,서울,2019-02-17,43
108,서울,2019-02-18,50
108,서울,2019-02-19,52
108,서울,2019-02-20,67
108,서울,2019-02-21,88
108,서울,2019-02-22,85
108,서울,2019-02-23,73
108,서울,2019-02-24,79
108,서울,2019-02-25,92
108,서울,2019-02-26,55
108,서울,2019-02-27,76
108,서울,2019-02-28,93
108,서울,2019-03-01,127
108,서울,2019-03-02,131
108,서울,2019-03-03,124
108,서울,2019-03-05,193
108,서울,2019-03-06,146
108,서울,2019-03-07,58
108,서울,2019-03-08,49
108,서울,2019-03-09,53
108,서울,2019-03-10,56
108,서울,2019-03-11,77
108,서울,2019-03-12,81
108,서울,2019-03-13,35
108,서울,2019-03-14,49
108,서울,2019-03-15,53
108,서울,2019-03-16,42
108,서울,2019-03-17,35
108,서울,2019-03-18,41
108,서울,2019-03-19,73
108,서울,2019-03-20,104
108,서울,2019-03-21,36
108,서울,2019-03-22,32
108,서울,2019-03-23,24
108,서울,2019-03-24,23
108,서울,2019-03-25,41
108,서울,2019-03-26,51
108,서울,2019-03-27,86
108,서울,2019-03-28,75
108,서울,2019-03-29,33
108,서울,2019-03-30,36
108,서울,2019-03-31,38
108,서울,2019-04-01,23
108,서울,2019-04-02,30
108,서울,2019-04-03,36
108,서울,2019-04-04,32
108,서울,2019-04-05,53
108,서울,2019-04-06,48
108,서울,2019-04-07,34
108,서울,2019-04-08,33
108,서울,2019-04-09,37
108,서울,2019-04-10,9
108,서울,2019-04-11,28
108,서울,2019-04-12,50
108,서울,2019-04-13,50
108,서울,2019-04-14,37
108,서울,2019-04-15,43
108,서울,2019-04-16,47
108,서울,2019-04-17,36
108,서울,2019-04-18,42
108,서울,2019-04-19,53
108,서울,2019-04-20,41
