지점,지점명,일시,일 미세먼지 농도(㎍/㎥)
108,서울,2020-01-01,39
108,서울,2020-01-02,69
108,서울,2020-01-03,78
108,서울,2020-01-04,63
108,서울,2020-01-05,62
108,서울,2020-01-06,46
108,서울,2020-01-07,10
108,서울,2020-01-08,32
108,서울,2020-01-09,54
108,서울,2020-01-10,73
108,서울,2020-01-11,60
108,서울,2020-01-12,53
108,서울,2020-01-13,28
108,서울,2020-01-14,34
108,서울,2020-01-15,41
108,서울,2020-01-16,43
108,서울,2020-01-17,64
108,서울,2020-01-18,68
108,서울,2020-01-19,72
108,서울,2020-01-20,54
108,서울,2020-01-21,49
108,서울,2020-01-22,50
108,서울,2020-01-23,71
108,서울,2020-01-24,82
108,서울,2020-01-25,58
108,서울,2020-01-26,28
108,서울,2020-01-27,10
108,서울,2020-01-28,11
108,서울,2020-01-29,15
108,서울,2020-01-30,17
108,서울,2020-01-31,34
108,서울,2020-02-01,86
108,서울,2020-02-02,90
108,서울,2020-02-03,29
108,서울,2020-02-04,32
108,서울,2020-02-05,28
108,서울,2020-02-06,46
108,서울,2020-02-07,44
108,서울,2020-02-08,50
108,서울,2020-02-09,42
108,서울,2020-02-10,54
108,서울,2020-02-11,68
108,서울,2020-02-12,63
108,서울,2020-02-13,90
108,서울,2020-02-14,99
108,서울,2020-02-15,76
108,서울,2020-02-16,58
108,서울,2020-02-18,29
108,서울,2020-02-19,43
108,서울,2020-02-20,76
108,서울,2020-02-21,76
108,서울,2020-02-22,75
108,서울,2020-02-23,24
108,서울,2020-02-24,42
108,서울,2020-02-25,28
108,서울,2020-02-26,21
108,서울,2020-02-27,17
108,서울,2020-02-28,32
108,서울,2020-02-29,26
108,서울,2020-03-01,57
108,서울,2020-03-02,42
108,서울,2020-03-03,55
108,서울,2020-03-04,54
108,서울,2020-03-05,43
108,서울,2020-03-06,51
108,서울,2020-03-07,78
108,서울,2020-03-08,73
108,서울,2020-03-09,70
108,서울,2020-03-10,56
108,서울,2020-03-11,31
108,서울,2020-03-12,33
108,서울,2020-03-13,32
108,서울,2020-03-14,46
108,서울,2020-03-15,43
108,서울,2020-03-16,25
108,서울,2020-03-17,48
108,서울,2020-03-18,66
108,서울,2020-03-19,57
108,서울,2020-03-20,30
108,서울,2020-03-21,44
108,서울,2020-03-22,40
108,서울,2020-03-23,55
108,서울,2020-03-24,63
108,서울,2020-03-25,56
108,서울,2020-03-26,57
108,서울,2020-03-27,47
108,서울,2020-03-28,31
108,서울,2020-03-29,43
108,서울,2020-03-30,59
108,서울,2020-03-31,52
108,서울,2020-04-01,81
108,서울,2020-04-02,44
108,서울,2020-04-03,64
108,서울,2020-04-04,69
108,서울,2020-04-05,49
108,서울,2020-04-06,55
108,서울,2020-04-07,56
108,서울,2020-04-08,41
108,서울,2020-04-09,48
108,서울,2020-04-10,42
108,서울,2020-04-11,40
108,서울,2020-04-12,34
108,서울,2020-04-13,21
108,서울,2020-04-14,55
108,서울,2020-04-15,77
108,서울,2020-04-16,64
108,서울,2020-04-17,47
108,서울,2020-04-18,31
108,서울,2020-04-19,27
108,서울,2020-04-20,19
108,서울,2020-04-21,33
108,서울,2020-04-22,64
108,서울,2020-04-23,39
108,서울,2020-04-24,35
108,서울,2020-04-25,51
108,서울,2020-04-26,35
108,서울,2020-04-27,37
108,서울,2020-04-28,42
108,서울,2020-04-29,53
108,서울,2020-04-30,38
108,서울,2020-05-01,50
108,서울,2020-05-02,44
108,서울,2020-05-03,28
108,서울,2020-05-04,35
108,서울,2020-05-05,33
108,서울,2020-05-06,36
108,서울,2020-05-07,33
108,서울,2020-05-08,34
108,서울,2020-05-09,16
108,서울,2020-05-10,37
108,서울,2020-05-11,98
108,서울,2020-05-12,38
108,서울,2020-05-13,34
108,서울,2020-05-14,42
108,서울,2020-05-15,33
108,서울,2020-05-16,29
108,서울,2020-05-17,44
108,서울,2020-05-18,44
108,서울,2020-05-20,15
108,서울,2020-05-21,25
108,서울,2020-05-22,53
108,서울,2020-05-23,50
108,서울,2020-05-24,29
108,서울,2020-05-25,45
108,서울,2020-05-26,48
108,서울,2020-05-27,19
108,서울,2020-05-28,24
108,서울,2020-05-29,30
108,서울,2020-05-30,33
108,서울,2020-05-31,34
108,서울,2020-06-01,25
108,서울,2020-06-03,56
108,서울,2020-06-04,71
108,서울,2020-06-05,42
108,서울,2020-06-06,48
108,서울,2020-06-07,41
108,서울,2020-06-08,39
108,서울,2020-06-09,47
108,서울,2020-06-10,47
108,서울,2020-06-13,52
108,서울,2020-06-15,35
108,서울,2020-06-18,40
108,서울,2020-06-19,30
108,서울,2020-06-20,40
108,서울,2020-06-21,38
108,서울,2020-06-22,40
108,서울,2020-06-23,46
108,서울,2020-06-24,41
108,서울,2020-06-25,25
108,서울,2020-06-26,30
108,서울,2020-06-27,29
108,서울,2020-06-28,38
108,서울,2020-06-29,49
108,서울,2020-07-05,33
108,서울,2020-07-06,29
108,서울,2020-07-08,41
108,서울,2020-07-11,8
108,서울,2020-07-12,15
108,서울,2020-07-13,9
108,서울,2020-07-15,13
108,서울,2020-07-16,25
108,서울,2020-07-17,39
108,서울,2020-07-21,36
108,서울,2020-07-28,14
108,서울,2020-07-29,13
108,서울,2020-07-30,18
108,서울,2020-07-31,21
108,서울,2020-08-01,14
108,서울,2020-08-07,44
108,서울,2020-08-24,33
108,서울,2020-08-31,9
108,서울,2020-09-01,16
108,서울,2020-09-02,16
108,서울,2020-09-04,19
108,서울,2020-09-05,28
108,서울,2020-09-06,21
108,서울,2020-09-08,27
108,서울,2020-09-09,26
108,서울,2020-09-10,24
108,서울,2020-09-11,22
108,서울,2020-09-12,9
108,서울,2020-09-14,29
108,서울,2020-09-15,42
108,서울,2020-09-16,20
108,서울,2020-09-17,21
108,서울,2020-09-18,24
108,서울,2020-09-20,19
108,서울,2020-09-21,24
108,서울,2020-09-24,11
108,서울,2020-09-25,14
108,서울,2020-09-26,15
108,서울,2020-09-27,16
108,서울,2020-09-29,42
108,서울,2020-10-02,38
108,서울,2020-10-03,54
108,서울,2020-10-04,35
108,서울,2020-10-05,31
108,서울,2020-10-06,31
108,서울,2020-10-07,31
108,서울,2020-10-08,19
108,서울,2020-10-09,21
108,서울,2020-10-10,25
108,서울,2020-10-11,39
108,서울,2020-10-12,52
108,서울,2020-10-13,35
108,서울,2020-10-14,45
108,서울,2020-10-16,54
108,서울,2020-10-17,51
108,서울,2020-10-18,45
108,서울,2020-10-19,120
108,서울,2020-10-20,118
108,서울,2020-10-22,94
108,서울,2020-10-23,34
108,서울,2020-10-24,37
108,서울,2020-10-25,46
108,서울,2020-10-26,72
108,서울,2020-10-27,116
108,서울,2020-10-28,63
108,서울,2020-10-29,44
108,서울,2020-10-30,57
108,서울,2020-10-31,34
108,서울,2020-11-01,74
108,서울,2020-11-02,58
108,서울,2020-11-03,27
108,서울,2020-11-04,39
108,서울,2020-11-05,53
108,서울,2020-11-06,64
108,서울,2020-11-07,115
108,서울,2020-11-08,72
108,서울,2020-11-09,34
108,서울,2020-11-10,34
108,서울,2020-11-11,62
108,서울,2020-11-12,92
108,서울,2020-11-13,115
108,서울,2020-11-14,111
108,서울,2020-11-15,118
108,서울,2020-11-16,110
108,서울,2020-11-17,90
108,서울,2020-11-20,33
108,서울,2020-11-21,47
108,서울,2020-11-22,57
108,서울,2020-11-23,41
108,서울,2020-11-24,39
108,서울,2020-11-25,61
108,서울,2020-11-26,90
108,서울,2020-11-27,62
108,서울,2020-11-28,29
108,서울,2020-11-29,36
108,서울,2020-11-30,46
108,서울,2020-12-01,42
108,서울,2020-12-02,43
108,서울,2020-12-03,36
108,서울,2020-12-04,45
108,서울,2020-12-05,55
108,서울,2020-12-06,74
108,서울,2020-12-07,79
108,서울,2020-12-08,35
108,서울,2020-12-09,55
108,서울,2020-12-10,112
108,서울,2020-12-12,71
108,서울,2020-12-13,51
108,서울,2020-12-14,31
108,서울,2020-12-15,24
108,서울,2020-12-16,29
108,서울,2020-12-17,34
108,서울,2020-12-18,47
108,서울,2020-12-19,35
108,서울,2020-12-20,34
108,서울,2020-12-21,56
108,서울,2020-12-22,74
108,서울,2020-12-23,103
108,서울,2020-12-24,85
